[f=0000000] [unitdefs.lua] Error: removed eufblab unitDef, missing model file  (ARMBLAB)
[f=0000000] [unitdefs.lua] Error: removed folsom_dam_fogna unitDef, missing model file  (folsom_dam_fogna.s3o)
[f=0000000] [unitdefs.lua] Error: removed the "corfdoom" entry from the "corack" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfscreamer" entry from the "corack" build menu
[f=0000000] [unitdefs.lua] Error: removed the "icudecom" entry from the "armalab" build menu
[f=0000000] [unitdefs.lua] Error: removed the "eufblab" entry from the "eufcd" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfdoom" entry from the "coracv" build menu
[f=0000000] [unitdefs.lua] Error: removed the "corfscreamer" entry from the "coracv" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala001_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala002_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala003_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala004_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "pala005_d" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "armspazioporto" entry from the "wmrtsbuilder" build menu
[f=0000000] [unitdefs.lua] Error: removed the "folsom_dam_fogna" entry from the "wmrtsbuilder" build menu
[f=0000000] [weapondefs.lua] Error: removed fleagoth_missile weaponDef, missing model

[f=0000000] [unitdefs.lua] Error: Error parsing units/comandanti_u/icucom_u4.lua: error = 3, units/comandanti_u/icucom_u4.lua, [string "units/comandanti_u/icucom_u4.lua"]:285: unexpected symbol near ','

[f=0000000] [unitdefs.lua] Error: Error parsing units/comandanti_u/icudecom.lua: error = 3, units/comandanti_u/icudecom.lua, [string "units/comandanti_u/icudecom.lua"]:205: '}' expected (to close '{' at line 2) near '<eof>'

[f=0000000] [unitdefs.lua] Error: Error parsing units/comandanti_u/nfacom_u4.lua: error = 3, units/comandanti_u/nfacom_u4.lua, [string "units/comandanti_u/nfacom_u4.lua"]:288: unexpected symbol near ','

[f=0000000] [unitdefs.lua] Error: Error parsing units/statici/nfahvytrsp.lua: error = 3, units/statici/nfahvytrsp.lua, [string "units/statici/nfahvytrsp.lua"]:74: unexpected symbol near '}'



[f=0000000] Loading Weapon Definitions
[f=0000000] Warning: WeaponDefs: Unknown tag "minbarrelangle" in "aakflak"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "aakflak"
[f=0000000] Warning: WeaponDefs: Unknown tag "toairweapon" in "aakflak"
[f=0000000] Warning: WeaponDefs: Unknown tag "unitsonly" in "aakflak"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "adv_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "adv_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "adv_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "advdepthcharge"
[f=0000000] Warning: WeaponDefs: Unknown tag "propeller" in "advdepthcharge"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "advdepthcharge"
[f=0000000] Warning: WeaponDefs: Unknown tag "guidance" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "noautorange" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "twophase" in "amd_rocket"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosionart" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "explosiongaf" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosionart" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "lavaexplosiongaf" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "selfprop" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "smokedelay" in "amoebic_missile"
[f=0000000] Warning: WeaponDefs: Unknown tag "startsmoke" in "amoebic_missile"
