{y=221,x=3440,name="icucom",z=9658,rot=0},
{y=16,x=5562,name="wmrtsbuilder",z=2783,rot=23068},
{y=41,x=5152,name="pala001",z=6752,rot="north"},
{y=40,x=5264,name="pala002",z=6752,rot="north"},
{y=40,x=5488,name="pala004",z=6752,rot="north"},
{y=40,x=5600,name="pala005",z=6752,rot="north"},
{y=40,x=5152,name="pala006",z=6864,rot="north"},
{y=40,x=5264,name="pala008",z=6864,rot="north"},
{y=40,x=5376,name="pala003",z=6752,rot="north"},
{y=40,x=5376,name="pala009",z=6864,rot="north"},
{y=40,x=5488,name="pala010",z=6864,rot="north"},
{y=40,x=5600,name="pala001",z=6864,rot="north"},
{y=40,x=5712,name="pala009",z=6864,rot="north"},
{y=40,x=5824,name="pala009",z=6864,rot="north"},
{y=40,x=5824,name="pala010",z=6752,rot="north"},
{y=42,x=5152,name="pala002",z=7248,rot="north"},
{y=42,x=5264,name="pala002",z=7248,rot="north"},
{y=41,x=5376,name="pala005",z=7248,rot="north"},
{y=41,x=5488,name="pala006",z=7248,rot="north"},
{y=40,x=5600,name="pala009",z=7248,rot="north"},
{y=40,x=5712,name="pala003",z=7248,rot="north"},
{y=40,x=5824,name="pala004",z=7248,rot="north"},
{y=40,x=5936,name="pala001",z=7248,rot="north"},
{y=40,x=6048,name="pala011",z=7248,rot="north"},
{y=44,x=5264,name="pala001",z=7360,rot="north"},
{y=43,x=5376,name="pala002",z=7360,rot="north"},
{y=43,x=5488,name="pala009",z=7360,rot="north"},
{y=42,x=5600,name="pala008",z=7360,rot="north"},
{y=42,x=5712,name="pala006",z=7360,rot="north"},
{y=41,x=5824,name="pala005",z=7360,rot="north"},
{y=41,x=5936,name="pala004",z=7360,rot="north"},
{y=40,x=6048,name="pala001",z=7360,rot="north"},
{y=45,x=5376,name="pala004",z=7472,rot="north"},
{y=44,x=5488,name="pala003",z=7472,rot="north"},
{y=44,x=5600,name="pala002",z=7472,rot="north"},
{y=43,x=5712,name="pala001",z=7472,rot="south"},
{y=43,x=5824,name="pala009",z=7472,rot="south"},
{y=42,x=5936,name="pala008",z=7472,rot="south"},
{y=42,x=6048,name="pala006",z=7472,rot="south"},
{y=46,x=5488,name="pala011",z=7584,rot="south"},
{y=46,x=5600,name="pala004",z=7584,rot="south"},
{y=45,x=5712,name="pala003",z=7584,rot="south"},
{y=45,x=5824,name="pala002",z=7584,rot="south"},
{y=44,x=5936,name="pala001",z=7584,rot="south"},
{y=44,x=6048,name="pala005",z=7584,rot="south"},
{y=40,x=5880,name="palma001",z=6968,rot="south"},
{y=40,x=5720,name="palma001",z=6968,rot="south"},
{y=40,x=5560,name="palma001",z=6952,rot="south"},
{y=40,x=5400,name="palma001",z=6952,rot="south"},
{y=40,x=5240,name="palma001",z=6936,rot="south"},
{y=40,x=5080,name="palma001",z=6936,rot="south"},
{y=40,x=5944,name="palma001",z=6904,rot="south"},
{y=40,x=5944,name="palma001",z=6744,rot="south"},
{y=42,x=5048,name="palma001",z=7160,rot="south"},
{y=41,x=5208,name="palma001",z=7160,rot="south"},
{y=40,x=5368,name="palma001",z=7160,rot="south"},
{y=40,x=5528,name="palma001",z=7160,rot="south"},
{y=40,x=5688,name="palma001",z=7160,rot="south"},
{y=40,x=5848,name="palma001",z=7160,rot="south"},
{y=40,x=6008,name="palma001",z=7160,rot="south"},
{y=48,x=5416,name="palma002",z=7688,rot="south"},
{y=47,x=5576,name="palma002",z=7688,rot="south"},
{y=46,x=5736,name="palma002",z=7672,rot="south"},
{y=46,x=5896,name="palma002",z=7672,rot="south"},
{y=45,x=6056,name="palma002",z=7672,rot="south"},
{y=55,x=5536,name="pala001",z=8176,rot="south"},
{y=54,x=5648,name="pala002",z=8176,rot="south"},
{y=54,x=5760,name="pala003",z=8176,rot="south"},
{y=53,x=5872,name="pala004",z=8176,rot="south"},
{y=53,x=5984,name="pala005",z=8176,rot="south"},
{y=53,x=5536,name="pala006",z=8064,rot="south"},
{y=52,x=5648,name="pala008",z=8064,rot="south"},
{y=52,x=5760,name="pala010",z=8064,rot="south"},
{y=52,x=5872,name="pala009",z=8064,rot="south"},
{y=51,x=5984,name="pala011",z=8064,rot="south"},
{y=57,x=5496,name="palma001",z=8248,rot="south"},
{y=55,x=5656,name="palma001",z=8248,rot="south"},
{y=54,x=5816,name="palma001",z=8248,rot="south"},
{y=54,x=5976,name="palma001",z=8248,rot="south"},
{y=52,x=5496,name="palma001",z=7976,rot="south"},
{y=51,x=5656,name="palma001",z=7976,rot="south"},
{y=51,x=5816,name="palma001",z=7976,rot="south"},
{y=50,x=5976,name="palma001",z=7976,rot="south"},
